date,Chlorophyll
18-12-2018,0.040678702
23-12-2018,0.068569107
28-12-2018,0.192236096
02-01-2019,0.133366502
07-01-2019,0.078596437
12-01-2019,0.027064406
17-01-2019,0.035377058
22-01-2019,0.103658704
27-01-2019,0.179331743
01-02-2019,0.161809661
06-02-2019,0.190844003
11-02-2019,0.060187518
16-02-2019,0.298603254
21-02-2019,0.396547418
26-02-2019,0.498972627
08-03-2019,0.333032052
13-03-2019,0.274009
18-03-2019,0.876998023
23-03-2019,0.868340557
28-03-2019,0.217977521
02-04-2019,0.189251216
07-04-2019,0.207531941
12-04-2019,0.141966835
17-04-2019,0.185493599
22-04-2019,0.071409845
27-04-2019,0.318698561
02-05-2019,0.206360616
07-05-2019,0.124286684
12-05-2019,0.112143818
17-05-2019,0.092097736
22-05-2019,0.161614563
27-05-2019,0.223331985
01-06-2019,0.176816787
06-06-2019,0.113969527
11-06-2019,0.106142626
04-10-2019,0.10162583
09-10-2019,0.056762755
14-10-2019,0.161135543
23-11-2019,0.219332535
28-11-2019,0.112252558
03-12-2019,0.092856446
08-12-2019,0.063850594
13-12-2019,0.082176372
18-12-2019,0.135962248
23-12-2019,0.119491527
28-12-2019,0.105087774
12-01-2020,0.199169726
17-01-2020,0.100138048
01-02-2020,0.085819367
06-02-2020,0.198112273
11-02-2020,0.273528845
16-02-2020,0.344745041
21-02-2020,0.547999227
26-02-2020,0.35243614
02-03-2020,0.495265217
07-03-2020,0.427810871
12-03-2020,0.623291924
17-03-2020,0.785697233
22-03-2020,0.803414416
01-04-2020,0.661787395
06-04-2020,0.335068597
11-04-2020,0.23929073
16-04-2020,0.209477539
21-04-2020,0.334899561
26-04-2020,0.283285595
01-05-2020,0.240994126
06-05-2020,0.232719239
11-05-2020,0.259853375
16-05-2020,0.215468434
21-05-2020,0.185257604
26-05-2020,0.221075361
31-05-2020,0.213735362
05-06-2020,0.205666469
10-06-2020,0.184924004
30-06-2020,0.238498795
28-09-2020,0.169956018
18-10-2020,0.19376269
23-10-2020,0.190895361
28-10-2020,0.130759015
02-11-2020,0.095997678
07-11-2020,0.116101616
12-11-2020,0.08397343
17-11-2020,0.091692425
22-11-2020,0.114035201
27-11-2020,0.08352695
02-12-2020,0.06543994
07-12-2020,0.163999488
17-12-2020,0.208878883
22-12-2020,0.084241309
27-12-2020,0.115410004
01-01-2021,0.073727822
06-01-2021,0.042498711
16-01-2021,0.097170754
21-01-2021,0.090244618
26-01-2021,0.099381141
31-01-2021,0.173419663
05-02-2021,0.079797418
10-02-2021,0.069486535
15-02-2021,0.272438668
20-02-2021,0.255410145
25-02-2021,0.241930717
02-03-2021,0.268039742
07-03-2021,0.486509259
17-03-2021,0.662616497
27-03-2021,0.063928743
01-04-2021,0.184672085
06-04-2021,0.153759387
11-04-2021,0.104837541
16-04-2021,0.060050501
26-04-2021,0.084671795
06-05-2021,0.159203717
11-05-2021,0.123323042
16-05-2021,0.149454096
21-05-2021,0.108096267
26-05-2021,0.106640191
05-07-2021,0.106428862
13-10-2021,0.088552049
23-10-2021,0.12566209
28-10-2021,0.039572405
02-11-2021,0.08305596
07-11-2021,0.097592287
12-11-2021,0.031979145
27-11-2021,0.078355219
07-12-2021,0.112653874
12-12-2021,0.040328856
22-12-2021,0.109810304
27-12-2021,0.113090503
21-01-2022,0.157115335
26-01-2022,0.251611495
31-01-2022,0.02401546
05-02-2022,0.040533754
10-02-2022,0.047896595
15-02-2022,0.057026438
20-02-2022,0.020874329
02-03-2022,0.070664319
12-03-2022,0.082315841
17-03-2022,0.103570405
22-03-2022,0.108239936
27-03-2022,0.067906287
01-04-2022,0.073219054
06-04-2022,0.089090579
16-04-2022,0.08086732
26-04-2022,0.058872071
01-05-2022,0.06415527
06-05-2022,0.060386597
11-05-2022,0.087686027
16-05-2022,0.106465337
21-05-2022,0.072165948
26-05-2022,0.084806509
31-05-2022,0.07769744
03-10-2022,0.085213903
13-10-2022,0.042137956
18-10-2022,0.04458892
23-10-2022,0.048561673
28-10-2022,0.037378863
02-11-2022,0.045624814
07-11-2022,0.030784558
12-11-2022,0.046006706
17-11-2022,0.016642701
22-11-2022,0.039425451
27-11-2022,0.036751075
02-12-2022,0.032937372
07-12-2022,0.03713466
17-12-2022,0.041873146
22-12-2022,0.055046991
27-12-2022,0.038986675
